URL,DSLD ID,Product Name,Company Name,Address,City,State,ZIP,Country,Manufacturer,Distributor,Packager,Reseller,Other
https://dsld.od.nih.gov/label/210448,210448,Elite Casein Rich Chocolate,Dymatize Enterprises LLC,,Dallas,TX,75207,USA,no,yes,no,no,no
https://dsld.od.nih.gov/label/210449,210449,Neptune Krill 1000 Double Strength,NOW Foods,395 S. Glen Ellyn Rd.,Bloomingdale,IL,60108,USA,no,no,yes,no,no
https://dsld.od.nih.gov/label/210450,210450,Neptune Krill 1000 Double Strength,NOW Foods,395 S. Glen Ellyn Rd.,Bloomingdale,IL,60108,USA,no,no,yes,no,no
https://dsld.od.nih.gov/label/210451,210451,Molecularly Distilled Omega-3,NOW Foods,395 S. Glen Ellyn Rd.,Bloomingdale,IL,60108,USA,no,no,yes,no,no
https://dsld.od.nih.gov/label/210452,210452,Molecularly Distilled Omega-3,NOW Foods,395 S. Glen Ellyn Rd.,Bloomingdale,IL,60108,USA,no,no,yes,no,no
https://dsld.od.nih.gov/label/210453,210453,Xanthium Chinese 1000 mg,Germa Products LLC,12300 SW 132 Court,Miami,FL,33186,,no,yes,no,no,no
https://dsld.od.nih.gov/label/210454,210454,Eggshell Membrane 500 mg,NOW Foods,395 S. Glen Ellyn Rd.,Bloomingdale,IL,60108,USA,yes,no,no,no,no
https://dsld.od.nih.gov/label/210455,210455,Elite Casein Smooth Vanilla,Dymatize Enterprises LLC,,Dallas,TX,75207,USA,no,yes,no,no,no
https://dsld.od.nih.gov/label/210456,210456,Lutein 20 mg,CVS Pharmacy Inc.,One CVS Drive,Woonsocket,RI,02895,,no,yes,no,no,no
https://dsld.od.nih.gov/label/210457,210457,Lutein 6 mg,CVS Pharmacy Inc.,One CVS Drive,Woonsocket,RI,02895,,no,yes,no,no,no
https://dsld.od.nih.gov/label/210458,210458,Shilajit,Banyan Botanicals,,Albuquerque,NM,87113,,no,yes,no,no,no
https://dsld.od.nih.gov/label/210459,210459,Simhanad Guggulu,Banyan Botanicals,,Albuquerque,NM,87113,,no,yes,no,no,no
https://dsld.od.nih.gov/label/210460,210460,For Your Eyes Lutein,AntiAging Institute of California Inc.,,Beverly Hills,CA,90210,,no,yes,no,no,no
https://dsld.od.nih.gov/label/210461,210461,Elite Casein Smooth Vanilla,Dymatize Enterprises LLC,,Dallas,TX,75207,USA,no,yes,no,no,no
https://dsld.od.nih.gov/label/210462,210462,Honeytaze,Germa Products LLC,12300 SW 132 Court,Miami,FL,33186,,no,yes,no,no,no
https://dsld.od.nih.gov/label/210463,210463,Potassium Gluconate 595 mg,CVS Pharmacy Inc.,One CVS Drive,Woonsocket,RI,02895,,no,yes,no,no,no
https://dsld.od.nih.gov/label/210464,210464,Malt Extract,Germa Products LLC,12300 SW 132 Court,Miami,FL,33186,,no,yes,no,no,no
https://dsld.od.nih.gov/label/210465,210465,Yogaraj Guggulu,Banyan Botanicals,,Albuquerque,NM,87113,,no,yes,no,no,no
https://dsld.od.nih.gov/label/210466,210466,Quell The Surface Teapills,Mayway Corp.,,Oakland,CA,94607,USA,no,yes,no,no,no
https://dsld.od.nih.gov/label/210467,210467,Melatonin 3 mg,CVS Pharmacy Inc.,One CVS Drive,Woonsocket,RI,02895,,no,yes,no,no,no
https://dsld.od.nih.gov/label/210468,210468,Elite Casein Cinnamon Bun,Dymatize Enterprises LLC,,Dallas,TX,75207,USA,no,yes,no,no,no
https://dsld.od.nih.gov/label/210469,210469,Ginkgo Biloba Extract 120 mg,Wal-Mart Stores Inc.,,Bentonville,AR,72716,,no,yes,no,no,no
https://dsld.od.nih.gov/label/210470,210470,Malt Extract,Germa Products LLC,12300 SW 132 Court,Miami,FL,33186,,no,yes,no,no,no
https://dsld.od.nih.gov/label/210471,210471,Elite Casein Cinnamon Bun,Dymatize Enterprises LLC,,Dallas,TX,75207,USA,no,yes,no,no,no
https://dsld.od.nih.gov/label/210472,210472,Silymarin Milk Thistle 620 mg,Germa Products LLC,12300 SW 132 Court,Miami,FL,33186,,no,yes,no,no,no
https://dsld.od.nih.gov/label/210473,210473,Nervon Forte Delightful Orange Flavor,Germa Products LLC,12300 SW 132 Court,Miami,FL,33186,,no,yes,no,no,no
https://dsld.od.nih.gov/label/210474,210474,Turmeric Curcumin Complex,Wal-Mart Stores Inc.,,Bentonville,AR,72716,,no,yes,no,no,no
https://dsld.od.nih.gov/label/210475,210475,Function for Women,AntiAging Institute of California Inc.,,Beverly Hills,CA,90210,,no,yes,no,no,no
https://dsld.od.nih.gov/label/210476,210476,Elite Casein Cookies & Cream,Dymatize Enterprises LLC,,Dallas,TX,75207,USA,no,yes,no,no,no
https://dsld.od.nih.gov/label/210477,210477,Pankreon,Germa Products LLC,12300 SW 132 Court,Miami,FL,33186,,no,yes,no,no,no
https://dsld.od.nih.gov/label/210478,210478,Elite Casein Cookies & Cream,Dymatize Enterprises LLC,,Dallas,TX,75207,USA,no,yes,no,no,no
https://dsld.od.nih.gov/label/210479,210479,Sales Biliares,Germa Products LLC,12300 SW 132 Court,Miami,FL,33186,,no,yes,no,no,no
https://dsld.od.nih.gov/label/210480,210480,Shark Cartilage 740 mg,Germa Products LLC,12300 SW 132 Court,Miami,FL,33186,,no,yes,no,no,no
https://dsld.od.nih.gov/label/210481,210481,Re-Vitalize X20 Probiotic,AntiAging Institute of California Inc.,,Beverly Hills,CA,90210,,no,yes,no,no,no
https://dsld.od.nih.gov/label/210482,210482,Silymarin Milk Thistle 620 mg,Germa Products LLC,12300 SW 132 Court,Miami,FL,33186,,no,yes,no,no,no
https://dsld.od.nih.gov/label/210483,210483,CM Super,4Life,,,,,,yes,no,no,no,no
https://dsld.od.nih.gov/label/210484,210484,Elite Casein Rich Chocolate,Dymatize Enterprises LLC,,Dallas,TX,75207,USA,no,yes,no,no,no
https://dsld.od.nih.gov/label/210485,210485,Super Omega 3 1000 mg,Germa Products LLC,12300 SW 132 Court,Miami,FL,33186,,no,yes,no,no,no
https://dsld.od.nih.gov/label/210486,210486,Elite Casein Rich Chocolate,Dymatize Enterprises LLC,,Dallas,TX,75207,USA,no,yes,no,no,no
https://dsld.od.nih.gov/label/210487,210487,Tri-Digestivas,Germa Products LLC,12300 SW 132 Court,Miami,FL,33186,,no,yes,no,no,no
https://dsld.od.nih.gov/label/210488,210488,Urobiol 900 mg,Germa Products LLC,12300 SW 132 Court,Miami,FL,33186,,no,yes,no,no,no
https://dsld.od.nih.gov/label/210489,210489,Cinnamon 1000 mg plus Chromium,Wal-Mart Stores Inc.,,Bentonville,AR,72716,,no,yes,no,no,no
https://dsld.od.nih.gov/label/210490,210490,Saw Palmetto 450 mg,Wal-Mart Stores Inc.,,Bentonville,AR,72716,,no,yes,no,no,no
https://dsld.od.nih.gov/label/210491,210491,Elite Casein Smooth Vanilla,Dymatize Enterprises LLC,,Dallas,TX,75207,USA,no,yes,no,no,no
https://dsld.od.nih.gov/label/210493,210493,Elite Casein Smooth Vanilla,Dymatize Enterprises LLC,,Dallas,TX,75207,USA,no,yes,no,no,no
https://dsld.od.nih.gov/label/210494,210494,Elite 100% Whey Chocolate Cake Batter,Dymatize Enterprises LLC,,Dallas,TX,75207,USA,no,yes,no,no,no
https://dsld.od.nih.gov/label/210495,210495,Venosan,Germa Products LLC,12300 SW 132 Court,Miami,FL,33186,,no,yes,no,no,no
https://dsld.od.nih.gov/label/210496,210496,Vitamin-C 500 mg,Germa Products LLC,12300 SW 132 Court,Miami,FL,33186,,no,yes,no,no,no
https://dsld.od.nih.gov/label/210497,210497,Elite 100% Whey Chocolate Peanut Butter,Dymatize Enterprises LLC,,Dallas,TX,75207,USA,no,yes,no,no,no
https://dsld.od.nih.gov/label/210498,210498,Elite 100% Whey Cookies & Cream,Dymatize Enterprises LLC,,Dallas,TX,75207,USA,no,yes,no,no,no
https://dsld.od.nih.gov/label/210499,210499,Turmeric Strength for Whole Body,MegaFood,PO Box 5244,Manchester,NH,03108,,yes,no,no,no,no
https://dsld.od.nih.gov/label/210500,210500,Turmeric Strength for Whole Body,MegaFood,PO Box 5244,Manchester,NH,03108,,yes,no,no,no,no
https://dsld.od.nih.gov/label/210501,210501,Elite 100% Whey Gourmet Vanilla,Dymatize Enterprises LLC,,Dallas,TX,75207,USA,no,yes,no,no,no
https://dsld.od.nih.gov/label/210502,210502,Turmeric Strength for Whole Body,MegaFood,PO Box 5244,Manchester,NH,03108,,yes,no,no,no,no
https://dsld.od.nih.gov/label/210503,210503,Elite 100% Whey Raspberry Cheesecake,Dymatize Enterprises LLC,,Dallas,TX,75207,USA,no,yes,no,no,no
https://dsld.od.nih.gov/label/210504,210504,Elite 100% Whey Rich Chocolate,Dymatize Enterprises LLC,,Dallas,TX,75207,USA,no,yes,no,no,no
https://dsld.od.nih.gov/label/210505,210505,Elite 100% Whey Snickerdoodle,Dymatize Enterprises LLC,,Dallas,TX,75207,USA,no,yes,no,no,no
https://dsld.od.nih.gov/label/210506,210506,Elite 100% Whey Strawberry Blast,Dymatize Enterprises LLC,,Dallas,TX,75207,USA,no,yes,no,no,no
https://dsld.od.nih.gov/label/210507,210507,MegaFlora for Women,MegaFood,PO Box 5244,Manchester,NH,03108,,no,yes,no,no,no
https://dsld.od.nih.gov/label/210508,210508,MegaFlora for Women,MegaFood,PO Box 5244,Manchester,NH,03108,,no,yes,no,no,no
